material_class,option_id,sigma_a_MPa,N,phase_index,phase,Xi,proposed_length_m,maximum_released_energy_J_per_m,resistance_J_per_m2,minimum_energy_gate_margin_J_per_m,admitted_length_m,reason,mesh_resolved
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.5,2.2973400956248734e-06,0.09623385386331997,3.3602113609335498,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.6,2.7568081147498482e-06,0.10104554655648597,3.3602113609335498,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,0.8,3.6757441529997978e-06,0.09623385386331997,3.3602113609335498,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,1.0,4.594680191249747e-06,0.09623385386331997,3.3602113609335498,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,1.25,5.743350239062183e-06,0.09021923799686248,3.3602113609335498,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,1.5,6.89202028687462e-06,0.07217539039748998,3.3602113609335498,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,2.0,9.189360382499494e-06,0.09623385386331997,3.3602113609335498,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,2.5,1.1486700478124366e-05,0.09690456635537004,3.3602113609335498,,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,3.0,1.378404057374924e-05,0.09690456635537004,3.3602113609335498,,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,3.5,1.6081380669374112e-05,0.09690456635537004,3.3602113609335498,,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,3.99,1.833277396308649e-05,0.09690456635537004,3.3602113609335498,,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,4.0,1.8378720764998988e-05,0.09690456635537004,3.3602113609335498,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,1,0.03125,8.0,1.8378720764998988e-05,0.09690456635537004,3.3602113609335498,,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.1,2.2973400956248734e-06,0.0913264434580447,3.5278586746334506,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.3,2.2973400956248734e-06,0.0913264434580447,3.5278586746334506,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.49,2.2973400956248734e-06,0.0913264434580447,3.5278586746334506,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.5,2.2973400956248734e-06,0.0913264434580447,3.5278586746334506,,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.6,2.7568081147498482e-06,0.09589276563094695,3.5278586746334506,,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,0.8,3.6757441529997978e-06,0.0913264434580447,3.5278586746334506,,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,1.0,4.594680191249747e-06,0.0913264434580447,3.5278586746334506,,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,1.25,5.743350239062183e-06,0.08561854074191692,3.5278586746334506,,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,1.5,6.89202028687462e-06,0.06849483259353353,3.5278586746334506,,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,2.0,9.189360382499494e-06,0.0913264434580447,3.5278586746334506,,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,2,0.0625,2.5,1.1486700478124366e-05,0.091962953210313,3.5278586746334506,,1.1486700478124366e-05,stochastic_proposal_reached,True
